placement_id,job_title,job_post_date,fill_date,days_to_fill,placement_fee,client_id,recruiter_id,candidate_country,client_country,daily_rate,is_fast_fill,fee_category
1,Senior IT Support,2023-05-23,2023-06-19,27,6707.75,87,24,Kenya,Australia,248.44,True,High
2,HR Manager,2023-08-27,2023-09-20,24,3158.91,4,18,Pakistan,United States,131.62,True,Medium
3,HR Manager,2023-01-07,2023-02-12,36,4102.2,21,23,Kenya,Canada,113.95,False,Medium
4,Junior Developer,2023-04-15,2023-05-11,26,1645.94,13,12,India,UAE,63.31,True,Low
5,Senior IT Support,2024-01-23,2024-02-22,30,6648.66,38,27,Kenya,Australia,221.62,False,High
6,Data Analyst,2023-02-16,2023-03-29,41,2732.06,99,10,Nigeria,United Kingdom,66.64,False,Medium
7,Senior IT Support,2024-01-09,2024-02-09,31,4900.63,46,7,Nigeria,UAE,158.08,False,Medium
8,Senior IT Support,2023-09-08,2023-10-14,36,6045.66,49,9,Kenya,Australia,167.94,False,High
9,Data Analyst,2023-08-23,2023-09-24,32,3528.56,41,13,India,UAE,110.27,False,Medium
10,Data Analyst,2024-04-14,2024-05-02,18,1637.88,18,8,Pakistan,Australia,90.99,True,Low
11,HR Manager,2023-08-13,2023-09-10,28,7489.11,18,17,Philippines,Canada,267.47,True,High
12,Senior IT Support,2024-03-08,2024-03-23,15,3764.21,50,13,Pakistan,Australia,250.95,True,Medium
13,Data Analyst,2023-01-12,2023-02-13,32,3913.24,15,22,Philippines,Australia,122.29,False,Medium
14,Data Analyst,2024-04-09,2024-05-11,32,1334.66,93,29,Nigeria,UAE,41.71,False,Low
15,Junior Developer,2023-11-02,2023-12-08,36,2523.05,65,20,Philippines,United States,70.08,False,Medium
16,Junior Developer,2024-06-27,2024-07-17,20,2618.14,77,11,Pakistan,Canada,130.91,True,Medium
17,Data Analyst,2023-11-11,2023-11-27,16,3636.17,31,29,Pakistan,Australia,227.26,True,Medium
18,HR Manager,2024-06-29,2024-07-15,16,3448.07,17,22,Pakistan,Canada,215.5,True,Medium
19,Data Analyst,2023-08-05,2023-08-31,26,2583.02,97,24,Philippines,United States,99.35,True,Medium
20,HR Manager,2024-03-24,2024-04-23,30,7975.75,58,4,Kenya,United States,265.86,False,High
21,Data Analyst,2023-08-14,2023-09-06,23,1063.1,91,21,India,United Kingdom,46.22,True,Low
22,Senior IT Support,2023-09-01,2023-09-24,23,5590.39,63,7,India,Australia,243.06,True,High
23,HR Manager,2024-02-21,2024-03-16,24,1728.99,13,22,Pakistan,Canada,72.04,True,Low
24,HR Manager,2023-04-11,2023-05-09,28,5335.12,94,11,India,United Kingdom,190.54,True,High
25,Junior Developer,2023-07-07,2023-08-01,25,2608.86,32,28,India,United Kingdom,104.35,True,Medium
26,Senior IT Support,2023-01-16,2023-02-21,36,3252.94,97,28,Philippines,United States,90.36,False,Medium
27,HR Manager,2023-03-02,2023-03-23,21,2444.08,1,13,Pakistan,UAE,116.38,True,Medium
28,HR Manager,2024-05-13,2024-06-22,40,4426.25,38,7,Nigeria,United Kingdom,110.66,False,Medium
29,Senior IT Support,2024-05-03,2024-06-09,37,5590.39,68,6,Kenya,United Kingdom,151.09,False,High
30,Junior Developer,2023-08-29,2023-09-23,25,2471.31,73,8,Philippines,Australia,98.85,True,Medium
31,Senior IT Support,2024-06-19,2024-07-15,26,5096.12,34,7,Kenya,UAE,196.0,True,High
32,HR Manager,2024-04-13,2024-05-09,26,3654.39,97,30,India,United Kingdom,140.55,True,Medium
33,Senior IT Support,2023-09-29,2023-10-21,22,3366.3,45,29,Pakistan,United Kingdom,153.01,True,Medium
34,Data Analyst,2023-11-06,2023-12-07,31,1854.96,84,17,Nigeria,United Kingdom,59.84,False,Low
35,Data Analyst,2023-05-18,2023-06-21,34,3795.27,14,24,Kenya,Australia,111.63,False,Medium
