placement_id,job_title,job_post_date,fill_date,days_to_fill,placement_fee,client_id,recruiter_id,candidate_country,client_country
0,Senior IT Support,23/05/2023,19/06/2023,27,6707.75,87,24,kenya,Australia
1,H.R. Manager,2023-08-27,2023-09-20,24,3158.91,4,18,pak,United States
2,H.R. Manager,07/01/2023,12/02/2023,36,4102.2,21,23,KEN,Canada
3,Junior Developer,2023-04-15,2023-05-11,26,1645.94,13,12,IND,UAE
4,Sr.IT Support,2024-01-23,2024-02-22,30,3189.2,38,27,Kenya,Australia
5,DataAnalyst,16/02/2023,29/03/2023,41,2732.06,99,10,NG,United Kingdom
6,Sr IT Support,2024-01-09,2024-02-09,31,2140.38,46,7,nigeria,UAE
7,Senior IT,2023-09-08,2023-10-14,36,6045.66,49,9,KEN,Australia
8,Data Analysis,23/08/2023,24/09/2023,32,3528.56,41,13,India,UAE
9,Data Analysis,2024-04-14,2024-05-02,18,1637.88,18,8,pak,Australia
10,H.R. Manager,13/08/2023,10/09/2023,28,7489.11,18,17,PH,Canada
11,Sr IT Support,2024-03-08,2024-03-23,15,1458.52,50,13,pak,Australia
12,Data Analyst,12/01/2023,13/02/2023,32,3913.24,15,22,philippines,Australia
13,Data Analysis,2024-04-09,2024-05-11,32,1334.66,93,29,Nigeria,UAE
14,Jr Developer,02/11/2023,08/12/2023,36,2523.05,65,20,PH,United States
15,Jr Developer,27/06/2024,17/07/2024,20,2618.14,77,11,PK,Canada
16,DataAnalyst,2023-11-11,2023-11-27,16,3636.17,31,29,Pakistan,Australia
17,HR Mgr,29/06/2024,15/07/2024,16,3448.07,17,22,pak,Canada
18,Data Analyst,05/08/2023,31/08/2023,26,2583.02,97,24,PH,United States
19,HR manager,24/03/2024,23/04/2024,30,3985.45,58,4,KEN,United States
20,Data Analysis,2023-08-14,2023-09-06,23,1063.1,91,21,India,United Kingdom
21,Sr.IT Support,2023-09-01,2023-09-24,23,,63,7,India,Australia
22,HR Mgr,2024-02-21,2024-03-16,24,1728.99,13,22,PK,Canada
23,H.R. Manager,2023-04-11,2023-05-09,28,5335.12,94,11,IND,United Kingdom
24,Junior Dev,2023-07-07,2023-08-01,25,2608.86,32,28,India,United Kingdom
25,Sr IT Support,16/01/2023,21/02/2023,36,1151.76,97,28,philippines,United States
26,HR Mgr,2023-03-02,2023-03-23,21,2444.08,1,13,PK,UAE
27,Human Resources Manager,2024-05-13,2024-06-22,40,4426.25,38,7,NG,United Kingdom
28,Sr.IT Support,2024-05-03,2024-06-09,37,,68,6,Kenya,United Kingdom
29,Jr Developer,2023-08-29,2023-09-23,25,,73,8,PH,Australia
30,Senior IT,2024-06-19,2024-07-15,26,5096.12,34,7,Kenya,UAE
31,HR manager,2024-04-13,2024-05-09,26,1392.63,97,30,India,United Kingdom
32,Sr IT Support,2023-09-29,2023-10-21,22,1219.78,45,29,Pakistan,United Kingdom
33,DataAnalyst,06/11/2023,07/12/2023,31,1854.96,84,17,NG,United Kingdom
34,Data Anlyst,2023-05-18,2023-06-21,34,3795.27,14,24,kenya,Australia
35,Data Anlyst,28/07/2023,16/08/2023,19,2814.49,34,17,PK,Canada
36,Senior IT,2023-02-15,2023-03-09,22,6171.42,99,5,india,UAE
37,H.R. Manager,2023-06-02,2023-06-24,22,5804.53,48,19,PK,Australia
38,Junior Developer,10/02/2023,03/03/2023,21,1125.49,27,22,PK,United States
39,DataAnalyst,21/02/2024,19/03/2024,27,3340.35,96,5,kenya,United States
