recruiter_id,recruiter_name,seniority,base_country,hire_date,target_placements_monthly
1,Recruiter_01,Junior,Philippines,2022-09-22,9
2,Recruiter_02,Junior,India,2022-02-24,20
3,Recruiter_03,Senior,Philippines,2021-04-10,12
4,Recruiter_04,Mid,Kenya,2021-08-27,9
5,Recruiter_05,Mid,Philippines,2020-10-19,19
6,Recruiter_06,Senior,Kenya,2020-08-23,18
7,Recruiter_07,Senior,Kenya,2021-08-28,13
8,Recruiter_08,Junior,Pakistan,2021-08-30,13
9,Recruiter_09,Senior,Philippines,2021-12-28,8
10,Recruiter_10,Senior,Pakistan,2020-04-11,10
11,Recruiter_11,Senior,Nigeria,2020-02-07,14
12,Recruiter_12,Senior,Nigeria,2021-12-17,12
13,Recruiter_13,Mid,India,2021-10-07,14
14,Recruiter_14,Mid,India,2022-07-08,19
15,Recruiter_15,Junior,Nigeria,2021-06-04,11
16,Recruiter_16,Mid,Pakistan,2020-03-18,20
17,Recruiter_17,Senior,Pakistan,2022-12-02,10
18,Recruiter_18,Mid,Philippines,2020-04-26,18
19,Recruiter_19,Senior,Pakistan,2021-06-24,19
20,Recruiter_20,Mid,Philippines,2022-06-24,8
21,Recruiter_21,Junior,India,2022-05-06,8
22,Recruiter_22,Mid,Philippines,2020-08-18,15
23,Recruiter_23,Junior,Kenya,2020-01-27,10
24,Recruiter_24,Junior,Philippines,2020-12-13,13
25,Recruiter_25,Mid,India,2020-06-13,11
26,Recruiter_26,Mid,Pakistan,2022-07-10,14
27,Recruiter_27,Junior,India,2020-02-27,17
28,Recruiter_28,Mid,Philippines,2020-05-21,15
29,Recruiter_29,Mid,Philippines,2020-03-05,9
30,Recruiter_30,Mid,India,2022-07-08,17
